search URL:,https://patents.google.com/?q=%28~patent%252fUS20180069262A1%29&q=%28~patent%252fUS11705576B2%29&q=%28~patent%252fUS11258057B2%29&q=%28~patent%252fCN110311168B%29&q=%28~patent%252fCN111344812B%29&q=%28~patent%252fCN111509222A%29&q=%28~patent%252fCN114122503A%29&q=%28~patent%252fGB2039864A%29&oq=%28~patent%252fCN111344812B%29+OR+%28~patent%252fUS11705576B2%29+OR+%28~patent%252fUS11258057B2%29+OR+%28~patent%252fUS20180069262A1%29+OR+%28~patent%252fCN110311168B%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11355780-B2,Sulfide solid electrolyte particles ,"Idemitsu Kosan Co., Ltd.","Futoshi Utsuno, Toshiaki Tsuno, Kota Terai, Hironari KIMPARA, Atsushi Sato",2017-03-08,2018-03-08,2022-06-07,2022-06-07,https://patents.google.com/patent/US11355780B2/en,https://patentimages.storage.googleapis.com/7a/6b/b7/8cd441e750cd02/US11355780-20220607-D00000.png
US-2168135-A,Electrolytic condenser ,Radiowerk E Schrack Ag,Pavelka Friedrich,1936-07-01,1937-06-19,1939-08-01,1939-08-01,https://patents.google.com/patent/US2168135A/en,https://patentimages.storage.googleapis.com/e6/54/ae/7066018e0cd465/US2168135-drawings-page-1.png
